2026-03-25 10:00:58 | INFO     | api_clients.base_client | POST https://restful-booker.herokuapp.com/booking
2026-03-25 10:00:58 | INFO     | api_clients.base_client | Response: 200 (0.07s)
2026-03-25 10:00:58 | INFO     | tests.conftest | Created booking with ID: 190
2026-03-25 10:00:58 | INFO     | api_clients.base_client | GET https://restful-booker.herokuapp.com/booking/190
2026-03-25 10:00:58 | INFO     | api_clients.base_client | Response: 200 (0.07s)
2026-03-25 10:00:58 | INFO     | api_clients.base_client | GET https://restful-booker.herokuapp.com/booking/190
2026-03-25 10:00:58 | INFO     | api_clients.base_client | Response: 200 (0.07s)
2026-03-25 10:00:58 | INFO     | api_clients.base_client | GET https://restful-booker.herokuapp.com/booking/190
2026-03-25 10:00:58 | INFO     | api_clients.base_client | Response: 200 (0.07s)
2026-03-25 10:00:58 | INFO     | api_clients.base_client | DELETE https://restful-booker.herokuapp.com/booking/190
2026-03-25 10:00:59 | INFO     | api_clients.base_client | Response: 201 (0.07s)
2026-03-25 10:00:59 | INFO     | tests.conftest | Cleaned up booking ID: 190
